ID,ID,Address,Latitude,Longitude,SalePrice,IsAStudio,Beds,Baths,Size,SizeUnit,LotSize,LotSizeUnit,BuiltInYear,YearOfSale,MonthOfSale,DayOfSale,WeekDayOfSale
0,15063471,"55 Vandewater St APT 9, San Francisco, CA",37805103,-122412856,0.71,False,1.0,,550.0,sqft,,,1980.0,2015,12,4,<built-in method weekday of Timestamp object at 0x1090fa7d0>
1,15063505,"740 Francisco St, San Francisco, CA",37804420,-122417389,2.15,False,,2.0,1430.0,sqft,2435.0,sqft,1948.0,2015,11,30,<built-in method weekday of Timestamp object at 0x1090fac50>
2,15063609,"819 Francisco St, San Francisco, CA",37803728,-122419055,5.6,False,2.0,3.5,2040.0,sqft,3920.0,sqft,1976.0,2015,11,12,<built-in method weekday of Timestamp object at 0x1090fa850>
3,15064044,"199 Chestnut St APT 5, San Francisco, CA",37804392,-122406590,1.5,False,1.0,1.0,1060.0,sqft,,,1930.0,2015,12,11,<built-in method weekday of Timestamp object at 0x1090fa950>
4,15064257,"111 Chestnut St APT 403, San Francisco, CA",37804240,-122405509,0.97,False,2.0,2.0,1299.0,sqft,,,1993.0,2016,1,15,<built-in method weekday of Timestamp object at 0x1090faad0>
5,15064295,"111 Chestnut St APT 702, San Francisco, CA",37804240,-122405509,0.94,False,2.0,2.0,1033.0,sqft,,,1993.0,2015,12,17,<built-in method weekday of Timestamp object at 0x1090fa9d0>
6,15064391,"1821 Grant Ave APT 101, San Francisco, CA",37803748,-122408531,0.835,False,1.0,1.0,1048.0,sqft,,,1975.0,2015,12,15,<built-in method weekday of Timestamp object at 0x1090facd0>
7,15064536,"2300 Leavenworth St, San Francisco, CA",37802408,-122417537,2.83,False,3.0,2.0,2115.0,sqft,1271.0,sqft,1913.0,2015,12,4,<built-in method weekday of Timestamp object at 0x1090fa8d0>
8,15064640,"1047-1049 Lombard St, San Francisco, CA",37801889,-122418704,4.05,True,,,4102.0,sqft,3049.0,sqft,1948.0,2016,1,14,<built-in method weekday of Timestamp object at 0x1090fab50>
9,15064669,"1055 Lombard St # C, San Francisco, CA",37801873,-122418834,2.19,False,2.0,3.0,1182.0,sqft,,,1986.0,2015,12,31,<built-in method weekday of Timestamp object at 0x1090faed0>
10,15065032,"101 Lombard St APT 116E, San Francisco, CA",37803470,-122404090,0.8,False,1.0,1.0,1000.0,sqft,,,1983.0,2015,12,7,<built-in method weekday of Timestamp object at 0x1090faf50>
11,15065140,"1407 Montgomery St APT 2, San Francisco, CA",37802299,-122404941,0.976,False,1.0,1.0,1000.0,sqft,,,1870.0,2016,1,28,<built-in method weekday of Timestamp object at 0x1090fadd0>
12,15065727,"1360 Montgomery St APT 1, San Francisco, CA",37801802,-122404269,0.72,False,1.0,1.0,552.0,sqft,,,1937.0,2015,11,16,<built-in method weekday of Timestamp object at 0x1090faa50>
13,15065810,"1327-1329 Kearny St, San Francisco, CA",37800260,-122406123,2.25,False,,4.0,2658.0,sqft,1600.0,sqft,1906.0,2015,11,25,<built-in method weekday of Timestamp object at 0x1090fabd0>
14,15065946,"44 Macondray Ln APT 2E, San Francisco, CA",37799474,-122414835,1.29,False,2.0,2.0,1165.0,sqft,,,1980.0,2015,11,30,<built-in method weekday of Timestamp object at 0x1090fae50>
15,15066001,"1070 Green St APT 201, San Francisco, CA",37798792,-122416797,2.9,False,2.0,2.0,1465.0,sqft,,,1963.0,2015,11,18,<built-in method weekday of Timestamp object at 0x109981f50>
16,15066036,"1070 Green St APT 1402, San Francisco, CA",37798792,-122416797,2.6,False,3.0,2.5,2017.0,sqft,,,1963.0,2015,12,31,<built-in method weekday of Timestamp object at 0x109981ed0>
17,15066085,"1907 Leavenworth St APT 8, San Francisco, CA",37798645,-122417500,0.908,False,2.0,1.0,956.0,sqft,,,1907.0,2015,11,12,<built-in method weekday of Timestamp object at 0x109981e50>
