account_id,year_month_won,upgraded_boolean,age_in_months,pre_upgrade_plan,post_upgrade_plan,upgrade_levels,num_agents,mrr_pre_upgrade,mrr_post_upgrade,mrr_delta,num_trig,num_automations,num_tags,num_macros,num_groups,num_orgs,num_fields,enabled_HC,enabled_redaction,enabled_insights,enabled_talk,enabled_widget,enabled_csat,enabled_hours,enabled_slas,enabled_HCcode,enabled_community,num_apps,num_tix_solved_last60d
70796,201512,0,11,Plus,n/a,0,26,910,910,0,28,4,10502,51,14,47,4,1,1,1,0,1,1,1,0,1,1,3,4527
70804,201609,0,2,"Enterprise (Legacy)",n/a,0,238,14103.9,14103.9,0,155,8,1045134,548,43,6,42,1,0,1,0,1,1,0,0,1,NULL,9,711855
119516,201512,0,11,"Enterprise (Legacy)",n/a,0,11,715,715,0,21,4,26897,36,4,419,23,1,0,1,0,1,1,1,0,0,1,11,65241
132242,201606,0,5,Professional,n/a,0,20,1180,1180,0,18,5,63087,19,18,24,8,0,0,1,0,0,0,1,0,NULL,NULL,0,6177
142241,201603,0,8,"Enterprise (Legacy)",n/a,0,9,198,198,0,91,16,12850,60,48,15,6,0,0,1,0,0,1,1,0,NULL,NULL,1,522
157607,201602,0,9,Team,n/a,0,2,50,50,0,3,2,9331,98,14,1,4,0,0,NULL,0,0,0,1,0,0,1,0,301
190915,201609,0,2,"Enterprise (Legacy)",n/a,0,11,44.8,44.8,0,11,3,13453,25,3,3,8,1,0,1,1,1,1,1,0,1,NULL,2,1018
190974,201609,0,2,"Enterprise (Legacy)",n/a,0,11,22.4,22.4,0,8,4,12443,13,1,1,0,1,0,1,0,1,1,1,0,1,NULL,1,1529
199341,201602,0,9,"Enterprise (Legacy)",n/a,0,7,833,833,0,8,1,5133,20,2,12,0,1,0,1,1,0,0,1,0,0,1,1,598
223513,201611,0,0,"Enterprise (Legacy)",n/a,0,18,22.4,22.4,0,17,2,20131,86,7,4,7,0,0,1,0,1,1,0,0,NULL,NULL,3,5661
227902,201512,0,11,"Enterprise (Legacy)",n/a,0,18,20,20,0,17,2,19954,88,8,1,9,0,0,1,0,1,1,1,0,NULL,NULL,5,5110
260102,201511,0,12,Plus,n/a,0,5,472,472,0,9,1,21574,100,3,2,2,0,0,1,1,1,1,1,0,0,1,4,22368
267728,201604,0,7,"Enterprise (Legacy)",n/a,0,2,198,198,0,10,1,7207,167,2,1,0,0,0,NULL,0,0,0,1,0,NULL,NULL,0,757
292649,201603,0,8,"Enterprise (Legacy)",n/a,0,6,245,245,0,7,2,1761,4,1,2,1,1,0,1,0,0,0,1,0,0,1,0,320
307044,201605,0,6,Professional,n/a,0,13,767,767,0,9,3,19371,12,3,1,3,1,0,NULL,0,1,0,0,0,0,1,2,5292
313859,201610,0,1,Enterprise,n/a,0,11,500,500,0,79,12,22068,96,14,1,13,1,0,1,0,1,1,1,1,1,NULL,14,22498
