account_id,year_month_won,upgraded_boolean,age_in_months,pre_upgrade_plan,post_upgrade_plan,upgrade_levels,num_agents,mrr_pre_upgrade,mrr_post_upgrade,mrr_delta,num_trig,num_automations,num_tags,num_macros,num_groups,num_orgs,num_fields,enabled_HC,enabled_redaction,enabled_insights,enabled_talk,enabled_widget,enabled_csat,enabled_hours,enabled_slas,enabled_HCcode,enabled_community,num_apps,num_tix_solved_last60d
312069,201604,1,6,Team,Professional,1,4,76,76,0,13,6,2656,4,6,1,3,1,0,NULL,0,1,0,0,0,0,1,2,298
509860,201511,1,2,Plus,Enterprise,1,4,236,1250,1014,10,1,293,4,2,3,0,1,0,NULL,0,0,0,0,0,0,NULL,0,83
528477,201603,1,8,Professional,Enterprise,1,4,236,236,0,10,5,5006,6,2,753,10,1,0,1,0,0,1,1,0,1,NULL,7,1750
627758,201512,1,3,Essential,Professional,2,3,27,59,32,5,1,16,6,4,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,411
630417,201602,1,7,Essential,Professional,2,8,45,45,0,6,1,417,14,1,1,1,1,0,NULL,0,1,0,0,0,0,1,1,1008
685702,201512,1,3,Professional,Enterprise,1,5,295,1500,1205,7,2,19,4,2,9,0,1,0,NULL,0,0,1,0,1,1,NULL,2,278
702534,201511,1,7,Starter,Team,1,1,1.45,21.69,20,7,1,2,5,1,1,0,1,0,NULL,0,1,0,0,0,1,NULL,0,4
712019,201601,1,6,Team,Enterprise,2,4,84.53,330.34,246,10,2,3457,4,2,1,0,0,0,NULL,0,1,0,0,0,0,1,1,2387
717545,201511,1,2,Starter,Team,1,2,4,50,46,7,2,3,4,1,1,0,1,0,NULL,0,1,0,0,0,0,NULL,1,38
724411,201603,1,0,Essential,Team,1,NULL,NULL,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,12
732873,201601,1,4,Professional,Enterprise,1,20,980,2673,1693,7,1,5,4,3,4,4,1,0,NULL,0,0,0,0,0,0,1,2,1296
