account_id,year_month_run,year_month_won,year_month_upgraded,upgraded_boolean,age_in_months,pre_upgrade_plan,post_upgrade_plan,upgrade_levels,num_agents,mrr_delta,num_trig,num_automations,num_tags,num_macros,num_groups,num_orgs,num_fields,enabled_HC,enabled_redaction,enabled_insights,enabled_talk,enabled_widget,enabled_csat,enabled_hours,enabled_slas,enabled_HCcode,enabled_community,num_apps,num_tix_solved
312069,201610,201604,201610,1,6,Team,Professional,1,4,120,13,5,2511,4,6,1,3,1,0,NULL,0,1,0,0,0,0,1,2,134
509860,201601,201511,201601,1,2,Plus,Enterprise,1,4,1014,10,1,256,4,2,3,0,1,0,NULL,0,0,0,0,0,0,NULL,0,55
528477,201611,201603,201611,1,8,Professional,Enterprise,1,4,139,10,5,5034,6,2,756,10,1,0,1,0,0,1,1,0,1,NULL,7,959
627758,201603,201512,201603,1,3,Essential,Professional,2,3,32,5,1,15,6,4,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,159
630417,201609,201602,201609,1,7,Essential,Professional,2,9,102,6,1,413,23,1,1,1,1,0,NULL,0,1,0,0,0,0,1,1,895
685702,201603,201512,201603,1,3,Professional,Enterprise,1,12,1205,1,2,925,4,9,181,47,1,0,1,0,1,1,1,1,1,NULL,7,973
702534,201606,201511,201606,1,7,Starter,Team,1,1,20,7,1,2,5,1,1,0,1,0,NULL,0,1,0,0,0,1,NULL,0,3
712019,201607,201601,201607,1,6,Team,Enterprise,2,4,246,10,2,3789,4,2,1,0,0,0,NULL,0,1,0,0,0,0,1,1,1182
717545,201601,201511,201601,1,2,Starter,Team,1,2,46,7,2,3,4,1,1,11,1,0,NULL,1,1,0,0,0,0,NULL,1,38
732873,201605,201601,201605,1,4,Professional,Enterprise,1,27,-159,131,4,1645,9,121,774,186,1,0,1,0,0,0,1,0,0,1,8,4560
739326,201601,201511,201601,1,2,Essential,Team,1,2,37,6,1,141,4,1,1,0,1,0,NULL,0,1,0,0,0,0,NULL,1,233
740629,201610,201602,201610,1,8,Team,Professional,1,18,432,27,5,82842,39,14,2,6,1,0,1,0,1,1,0,1,1,1,0,8526
741598,201611,201511,201611,1,12,Team,Professional,1,2,52,10,1,23660,70,1,1,2,1,0,NULL,0,1,0,0,0,1,1,0,1969
746604,201603,201511,201603,1,4,Essential,Team,1,4,0,7,1,12,22,1,2,2,1,0,NULL,0,1,0,0,0,0,1,2,1168
750456,201607,201511,201607,1,8,Regular,Professional,1,3,100,7,1,75,4,1,3,0,0,0,NULL,0,0,0,0,0,0,1,0,176
751289,201606,201602,201606,1,4,Essential,Team,1,1,16,7,1,2,4,1,1,0,1,0,NULL,0,0,0,0,0,1,NULL,0,NULL
753998,201607,201511,201607,1,8,Regular,Professional,1,2,60,7,1,0,4,1,1,0,0,0,NULL,0,0,0,0,0,NULL,NULL,0,222
754124,201605,201511,201605,1,6,Professional,Enterprise,1,30,2345,19,13,5814,29,16,15,2,0,1,1,0,1,1,1,1,0,1,4,27504
756556,201608,201511,201608,1,9,Regular,Professional,1,1,30,7,1,4,4,1,1,0,1,0,NULL,0,1,0,0,0,0,1,0,1
758088,201603,201511,201603,1,4,Team,Professional,1,5,170,7,2,594,8,5,1389,6,1,0,NULL,0,1,0,1,0,1,NULL,6,846
758345,201603,201511,201603,1,4,Essential,Team,1,1,14,5,1,122,17,1,1,0,0,0,NULL,0,1,0,0,0,0,1,1,180
759447,201608,201511,201608,1,9,Essential,Team,1,5,80,5,1,1,4,1,1,0,1,0,NULL,0,1,0,0,0,0,1,1,1
762740,201606,201511,201606,1,7,Team,Professional,1,4,77,9,4,1389,34,2,2,4,0,0,NULL,0,1,0,0,0,0,1,0,169
763572,201603,201512,201603,1,3,Essential,Team,1,4,61,5,1,75,4,4,5,3,0,0,NULL,0,1,0,0,0,0,1,1,12
767112,201601,201511,201601,1,2,Essential,Professional,2,3,123,5,1,2,4,2,1,14,1,0,NULL,1,1,0,0,0,0,NULL,1,948
767381,201601,201511,201601,1,2,Starter,Professional,2,1,58,7,1,2,4,1,1,0,1,0,NULL,0,1,0,0,0,0,NULL,0,0
